iter	Passed	Remaining
0	398	398132
1	623	310947
2	902	299854
3	1157	288203
4	1334	265469
5	1520	251963
6	1698	240923
7	1876	232690
8	2044	225137
9	2207	218521
10	2367	212842
11	2601	214152
12	2821	214235
13	3016	212481
14	3176	208573
15	3406	209507
16	3580	207032
17	3745	204313
18	3915	202166
19	4072	199535
20	4233	197352
21	4366	194094
22	4540	192884
23	4693	190852
24	4886	190577
25	5062	189663
26	5198	187345
27	5385	186963
28	5563	186275
29	5751	185980
30	5935	185522
31	6083	184016
32	6273	183841
33	6540	185838
34	6723	185376
35	6891	184534
36	7045	183378
37	7192	182087
38	7356	181275
39	7503	180083
40	7642	178757
41	7788	177657
42	7958	177132
43	8110	176226
44	8296	176080
45	8447	175190
46	8611	174607
47	8753	173601
48	8903	172792
49	9064	172224
50	9222	171608
51	9368	170789
52	9525	170203
53	9675	169506
54	9836	169000
55	9992	168440
56	10139	167747
57	10305	167368
58	10489	167299
59	10636	166636
60	10773	165841
61	10920	165211
62	11090	164952
63	11252	164567
64	11397	163943
65	11547	163418
66	11758	163735
67	11975	164129
68	12152	163972
69	12313	163589
70	12474	163229
71	12618	162634
72	12762	162063
73	12930	161802
74	13067	161170
75	13227	160816
76	13389	160499
77	13536	160013
78	13680	159495
79	13825	158988
80	13975	158564
81	14113	158002
82	14258	157531
83	14392	156947
84	14532	156443
85	14673	155951
86	14821	155540
87	14992	155374
88	15139	154970
89	15285	154557
90	15428	154113
91	15587	153841
92	15739	153502
93	15898	153233
94	16054	152943
95	16216	152702
96	16365	152348
97	16513	151991
98	16673	151742
99	16822	151399
100	16988	151218
101	17178	151241
102	17394	151481
103	17551	151212
104	17703	150905
105	17862	150648
106	18016	150363
107	18170	150073
108	18334	149872
109	18490	149606
110	18650	149372
111	18804	149092
112	18959	148824
113	19116	148575
114	19280	148375
115	19436	148117
116	19592	147861
117	19749	147617
118	19905	147366
119	20061	147119
120	20217	146865
121	20373	146622
122	20531	146388
123	20685	146134
124	20844	145914
125	21001	145673
126	21153	145410
127	21316	145215
128	21471	144972
129	21626	144731
130	21783	144501
131	21942	144287
132	22099	144062
133	22253	143818
134	22443	143806
135	22640	143831
136	22816	143729
137	22973	143500
138	23126	143250
139	23282	143023
140	23443	142821
141	23593	142559
142	23750	142339
143	23906	142113
144	24062	141888
145	24222	141685
146	24453	141898
147	24673	142041
148	24883	142121
149	25044	141919
150	25198	141676
151	25356	141463
152	25525	141308
153	25683	141091
154	25840	140872
155	25996	140648
156	26156	140445
157	26310	140213
158	26468	140000
159	26626	139788
160	26784	139578
161	26942	139370
162	27100	139162
163	27259	138954
164	27420	138763
165	27579	138560
166	27767	138502
167	27949	138418
168	28144	138389
169	28298	138160
170	28465	137997
171	28622	137787
172	28777	137564
173	28932	137344
174	29088	137133
175	29248	136937
176	29408	136740
177	29564	136527
178	29719	136310
179	29882	136133
180	30041	135931
181	30194	135710
182	30350	135500
183	30518	135340
184	30684	135176
185	30838	134958
186	30992	134743
187	31144	134518
188	31298	134299
189	31463	134134
190	31622	133939
191	31778	133735
192	31934	133527
193	32091	133330
194	32245	133113
195	32399	132905
196	32569	132757
197	32724	132551
198	32890	132387
199	33078	132314
200	33266	132239
201	33483	132277
202	33648	132109
203	33803	131901
204	33954	131676
205	34107	131464
206	34260	131250
207	34417	131051
208	34583	130888
209	34739	130688
210	34896	130491
211	35053	130294
212	35209	130092
213	35363	129885
214	35531	129731
215	35688	129537
216	35846	129343
217	35998	129131
218	36150	128920
